Category,Crop,QueryType,QueryText,KCCAns
Fruits,Pomegranate,Plant Protection,OIL SPOT DISEASE?,SPRAY BORDO MIXURE @ 1%
Vegetables,Onion,Market Information,market rate onion ?,RS 500-1500/qtl onion pune market
Vegetables,Onion,Fertilizer Use and Availability,Fertilizer Dose –,Spray 00-52-34 30gm/15lit of water.
Fruits,Pomegranate,Plant Protection,attack of oily spot ?,spray bromofol 50gm + captan 500gm / 100 liter of water for pomegranate
Pulses,Pigeon pea (red gram/arhar/tur),Plant Protection,Attack of Caterpillar?,Spray Chloropyriphos 30ml/15 Lit of Water.
Vegetables,Cabbage,Market Information,"market rate of cabbage, onion, tomato",market rate = pune 1) cabbage - Rs 400 -700 per quintal 2) onion - Rs 500 - 1600 per quintal. 3) tomato - Rs 1000 - 2200 per quintal
Fruits,Pomegranate,Plant Protection,thrips on pomo?,spinosad 0.30mili/liter favarave
Others,Others,Fertilizer Use and Availability,fertilizer info.,00;52;34 wapar kara
Others,Others,Weather,weather info.,cloudy weather
Vegetables,Chillies,Plant Protection,Flower Drop?,Spray Planofix 5ml/15 Lit of Water.
Vegetables,Potato,Fertilizer Use and Availability,Fertilizer spray-,Spray 00-52-34 30gm/15lit of water.
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,Attack of rust on sugarcane,Spray of Ridomil gold 30 gm / M 45 40 gm per pump on sugarcane
Others,Others,Weather,weather of pune ?,cloudy weather condition
Others,Others,Plant Protection,poltry subsidi,50% subsidy for poultry managemnt
Vegetables,Tomato,Plant Protection,Blight Attack?,Spray M-45 30 gm/15 Lit of Water.
Others,Others,Government Schemes,Asked about SMS deactivation?,Your SMS deactivation done sucessfully.
Vegetables,Potato,Fertilizer Use and Availability,fertilizer dose potato ?,"50 kilo natra ,100 kilo palash , 100 kilo sfurad"
Vegetables,Potato,Fertilizer Use and Availability,fertilizer dose potato ?,"50 kilo natra ,100 kilo palash , 100 kilo sfurad"
Vegetables,Potato,Fertilizer Use and Availability,fertilizer dose potato ?,"50 kilo natra ,100 kilo palash , 100 kilo sfurad"
Fruits,Pomegranate,Plant Protection,Oil spot disease?,Spray Bordeaux mixture(1.0%). Spray with Streptocycline (0.025%) in combination with Copper oxychloride (0.25%) or Carbendazim (0.15%) at 15 days interval for 5-6 times starting from leaf initiation stage.
Fruits,Pomegranate,Fertilizer Use and Availability,fungs attak?,Blue copper - 40 gm/15 lit water .
Fruits,Pomegranate,Fertilizer Use and Availability,fungs attak?,Blue copper - 40 gm/15 lit water .
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,Shoot Borer Attack?,Spray Nuwan 20ml/15Lit of Water.
Vegetables,Brinjal,Fertilizer Use and Availability,root fungs attak?,Humic Acid 30ml/15 Lit of Water Drenching.Redomil Gold 30gm/15Lit of Water.
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,control of caterpillar attack,spraying of chloropayrifos 30 ml / 15 liter water
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,stem borer attack?,Spray nuwan 20ml/15Lit of Water.
Vegetables,Tomato,Agriculture Mechanization,TOMATO VARIETIES,"TOMATO VARIETIES -ABINAV, NAINA"
Others,Others,Weather,Asking about Weather Forecast ?,Sunny day no possibility of rain fall
Sugar and Starch Crops,Sugarcane (Noble Cane),Weather,WEATHER INFORMATION,"CLOUDY WEATHER , NO RAIN CHANCES"
Others,Others,Weather,Asking about Weather information?,Cloudy weather Possibility of High to Medium Rainfall
Fiber Crops,Cotton (Kapas),Plant Protection,WEATHER IN PUNE,Cloudy weather Possibility of High to Medium Rainfall
Fruits,Banana,Government Schemes,Govt. Schemes?,guide to visit TAO.
Others,Others,Weather,Asking about Weather information?,Cloudy weather Possibility of High to Medium Rainfall
Others,Others,Plant Protection,OPEN PLOT HERBICIDE----,OPEN PLOT HERBICIDE---- MEERA -71
Others,Others,Weather,Weather Report?,"Partly cloudy, not Possibility of Rainfall"
Vegetables,Bitter Gourd,Plant Protection,Caterpillar Attack-,spray quinolphos 30 mili / 15 litre water
Fruits,Papaya,Fertilizer Use and Availability,Flower Drop ?,Spray Plano fix 5ml/15 Lit of Water.
Fruits,Banana,Plant Protection,SMS Activation-,Asked About SMS Activation?
Vegetables,Tomato,Bio-Pesticides and Bio-Fertilizers,TO CONTROL ATTACK OF SUCKING PEST ON TOMATO CROP,SPRAY DIMETHOATE (ROGER) 10 ML IN 10 LTR OF WATER TO CONTROL ATTACK OF SUCKING PEST ON TOMATO CROP
Others,Others,Weather,weather info.,Partly Cloudy
Vegetables,Onion,Plant Protection,Attack of Blight?,Spray Tilt 30gm/15 Lit of Water.
Others,Others,Weather,asked about climatic condition,no possibility of light rain today
Fruits,Pomegranate,Plant Protection,LEAVES DROPPING INFORMATION?,SPRAY ETHAREL 3 ML/LIT
Fruits,Pomegranate,Plant Protection,Oil spot disease?,Spray Bordeaux mixture(1.0%). Spray with Streptocycline (0.025%) in combination with Copper oxychloride (0.25%) or Carbendazim (0.15%) at 15 days interval for 5-6 times starting from leaf initiation stage.
Fruits,Pomegranate,Plant Protection,Flower Drop?,Spray planofix 5 ml/15 lit + 00 52 34 5 gm/lit water. ?????????? ? ???? / 15???? ??????????? ???? ?????? ?????.Spray planofix 5 ml/15 lit + 00 52 34 5 gm/lit water. ?????????? ? ???? / 15???? ??????????? ???? ?????? ?????.
Fruits,Pomegranate,Seeds and Planting Material,VERIETIES?,"P Granate- Ganesh, Bhagva, Mradula, Shendri, Arkta? ???? ,????"
Others,Others,Weather,Weather Report .,"cloudy weather , chances of light no rainfall"
Others,Others,Government Schemes,regarding registration for sms scheme,your registration is successful for kisan sms portal
Oilseeds,Soybean (bhat),Plant Protection,Attack of Fruit borer for soyabean,Spray of Decis 10 ml or proclem 10 gm or dunet 25 gm or corasan 5 ml per pump
Fruits,Pomegranate,Plant Protection,Disease Attack - Blight?,Spray M-45 30 gm/15 Lit of Water.
Vegetables,Amarphophallus (Surankand/Elephant Foot Yam),Agriculture Mechanization,WEATHER IN PUNE ?,Cloudy weather not possibility of light rain
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,attack of stem borer sugarcane,stem borer sugarcane - apply 8 kg / acre
Vegetables,Onion,Market Information,market rate of onion?,1500-1800 rs per quental
Vegetables,Onion,Market Information,onion market rate?,onion market rate--RAHURI QUINTAL 14475 2000 100 1000
Others,Others,Field Preparation,MSCB LINE PROBLEMS ?,MSCB OFFICE LA PATHPURAVA KARAVA
Vegetables,Potato,Plant Protection,FERT. OF POTATO?,APPLICATION OF FERT. UREA 108KG 30DAS
Vegetables,Potato,Plant Protection,FERT. OF POTATO?,APPLICATION OF FERT. UREA 108KG 30DAS
Others,Others,Weather,WEATHER INFOERMATION,"CLOUDY WEATHER , RAIN CHANCES"
Vegetables,Potato,Fertilizer Use and Availability,fertilizer dose,"fertilizer dose-10:26:26: 2 bag, micronutrients 1bag,urea 2 bag"
Others,Others,Weather,Farmer has asked about curremt weather condition of his tashil?,Partly cloudy no possibility of rain
Vegetables,Tomato,Plant Protection,BLIGHT ON TOMATO,BLIGHT ON TOMATO - BLUE COPPER 30 GM /15 LITER WATER SPRAY
Vegetables,Tomato,Plant Protection,BLIGHT ON TOMATO,BLIGHT ON TOMATO - BLUE COPPER 30 GM /15 LITER WATER SPRAY
Others,Others,Weather,About Weather information?,Cloudy weather not possibility of rain
Fruits,Pomegranate,Nutrient Management,ASKED FOR THE GROWTH OF FLOWER IN POMEGRANATE CROP,SPRAY 00:52:34 50 GM WITH BOOMFLOWER 30 ML IN 10 LTR OF WATER FOR THE GROWTH OF FLOWER IN POMEGRANATE CROP
Others,Others,Weather,asked about climatic condition,possibility of light rain today to next seven days
Others,Others,Weather,ASKED ABOUT WEATHER INFORMATION,ATMOSPHERE IS PARTLY CLOUDY WITH NO ANY CHANCES OF RAIN
Vegetables,Brinjal,Nutrient Management,ASKED FOR THE GROWTH OF BRINJAL PLANT,SPRAY 19:19:19 100 GM WITH MICROLLA 30 ML IN 10 LTR OF WATER FOR THE GROWTH OF BRINJAL PLANT
Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,FERTILIZER DOSE ?,19 19 19 60 gm + Microlla 30 ml + bavistin 30 gm /15 litar water
Others,Others,Weather,WEATHER INFORMATION,"CLOUDY WEATHER , NO RAIN CHANCES"
Others,Others,Weather,About Weather information?,Cloudy weather not possibility of rain
Vegetables,Cucumber,Plant Protection,wilt attack ?,drenching of humic acid 30 mili + redomil gold 30 graam / 15 litre water
Vegetables,Bottle Gourd,Plant Protection,cucurbits planting time ?,cucurbits planting time-january- february
Vegetables,Potato,Plant Protection,attack of caterpiller on potato,spray of profex super 30 ml + actra 5 gm + folicur 8 ml per pump
Vegetables,Cluster Bean,Plant Protection,attack of aphids on cluster bean,spray of areva 10 gm + dhanzyme gold 30 ml per pump on cluster bean
Fruits,Pomegranate,Plant Protection,OILY SPOT ?,STREPOTOCYCLIN + BLUE COPPER
Others,Others,Weather,weather info.,"cloudy weather , chances of light no rainfall"
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,attack of stem borer on sugarcane,spray of nuvan 20 ml or proclem 10 gm per pump on sugarcane
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,weather in pune ?,climate info- partly cloudy and possibility of light rain.
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,weather in pune ?,climate info- partly cloudy and possibility of light rain.
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,weather in pune ?,climate info- partly cloudy and possibility of light rain.
Millets,Maize (Makka),Plant Protection,WEEDISIDE ?,2 4 D
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,weather in pune ?,climate info- partly cloudy and possibility of light rain.
Vegetables,Onion,Seeds and Planting Material,VARIETIES OF ONION CROP?,"VARIETIES OF ONION CROP - BASWANT, PUSA RED, FULE SAFAD"
Vegetables,Capsicum,Plant Protection,shednet subcidy ?,50% shednet subcidy
Cereals,Paddy (Dhan),Fertilizer Use and Availability,FERTILIZER FOR PADDY,FERTILIZER FOR PADDY - 0;52;34 40 GM /15 LITER WATER SPRAY
Others,Others,Field Preparation,weather ?,partly cloudy and possibility of light rainfall
Vegetables,Onion,Plant Protection,BLIGHT ON ONION,BLIGHT ON ONION - ANTRACALL 30 GM /15 LITER WATER SPRAY
Animal,Goat,Disease Reporting,attack of tickmites,use blitox powder
Others,Others,Government Schemes,Govt. Schemes- Drip Irrigation subsidies.,"50-60 % subsidies, loan pls visit nearer nationalised bank."
Fodder Crops,Other,Plant Protection,WEEDISIDE ?,MIRA -71
Others,Others,Weather,asked about weather forecasting ?,Cloudy weather and possibility of light rain
Fruits,Mango,Plant Protection,Stem Borer,Nuwan 15 ML /15 Liter Water
Others,Others,Training and Exposure Visits,farmer required dapoli university contact no,university contact no is 02358280238
Fruits,Custard Apple,Fertilizer Use and Availability,fert dose,Spray 00-52-34 30gm+macrolla 30 ml/15lit of water.
Fruits,Pomegranate,Plant Protection,Fertilizer Dose,Spray Boron 20gm/10lit of Water
Vegetables,Tomato,Fertilizer Use and Availability,fertilizer?,apply 0052;34 5 kg /acre
Vegetables,French Bean,Nutrient Management,fertilizer dose for French bean,apply DAP 1 bag + micronutrient 5 kg per acre French bean
Cereals,Wheat,Seeds,VARITIES OF WHEAT?,"VARITIES OF WHEAT ARE (NIAW 301)???????,(NIAW917) ?????, (NIDW295)???????, HD 2189"
Animal,"Bovine(Cow,Buffalo)",Animal Nutrition,advisary of milk ?,??? ???????? ????????? ??? ????
Fiber Crops,Cotton (Kapas),Plant Protection,weather in pune ?,climate info- partly cloudy and not possibility of light rain.
Cereals,Wheat,Market Information,wheat market rate,wheat market rate -1500-1700 rs /qit
Vegetables,Tomato,Plant Protection,LEAF CURL ON tomato,LEAF CURL ON tomato - Confidor super 6 ml + + bavistin 30 gm + 15 ml perfect / 15 lit of water
Vegetables,Onion,Fertilizer Use and Availability,fertilizer dose for onion,fertilizer dose for onion- apply 1 bag dap + 35 kg mop 25 kg urea /acre
Vegetables,Tomato,Plant Protection,black spot on tomato,black spot on tomato -SPRAY BLUE COPPER 37.5 GM + 4 GM STREPTOCYCLINE / 15 LIT WATER
Vegetables,Potato,Agriculture Mechanization,spray for 35 days pototo,spray for 35 days pototo -spray 13:40:13 60 gm / 15 lit of water.
Vegetables,Onion,Market Information,MARKET RATE ?,5/10/14 LOCAL PUNE QUINTAL 7188 1800 700 1250 --''-- LOCAL PUNE-KHADKI QUINTAL 29 1600 400 1000 4/10/14 ---- KOLHAPUR QUINTAL 3687 2200 500 1400 --''-- ---- AURANGABAD QUINTAL 90 1300 300 800 --''-- ---- BHIVANDI QUINTAL 12 2500 1500 2000 --''-- LOCAL PUNE-KHADKI QUINTAL 6 1500 1500 1500
Others,Others,Weather,Weather Information,"Partly cloudy, no possible of rain ."
Fruits,Pomegranate,Plant Protection,fruit drop ?,spray of calcium 1.5gm +boron 2gm/lit water
Vegetables,Chillies,Seeds and Planting Material,VARITIES OF CHILLIES?,"VARITIES OF CHILLIES ARE MAINA, KRANTI, VIJAYA , SITARA , DAMINI, NIRMAL 805"
Pulses,Pigeon pea (red gram/arhar/tur),Plant Protection,Attack of Thrips?,Spray Karate10ml/15 Lit of Water.
Sugar and Starch Crops,Sugarcane (Noble Cane),Seeds,VERIETIES?,"Sagarcane-CO- 86032, CO- 671, CO- 265, 94012. ??-86032, ??-94012, ??-265, ??-671."
Others,Others,Weather,Asked About Weather Report ?,Cloudy weather NOT Possibility of light Rainfall
Others,Others,Weather,asked about weather forecasting ?,Cloudy weather not possibility of light rain
Others,Others,Plant Protection,FARMER REQUESTED TO GIVE CURRENT STATUS OF WEATHER,CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN
Others,Others,Plant Protection,FARMER REQUESTED TO GIVE CURRENT STATUS OF WEATHER,CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN
Others,Others,Plant Protection,Flower Drop,Spray Boom flower 20ml/15lit of Water.
Others,Others,Weather,Weather Report?.,"???? ?????? ????? - ???? ???????, ?????? ??????? ?????? ???"
Others,Others,Weather,WEATHER FORCAST?,DHAGAL WATAVARAN AHE
Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,fertilizer dose of sugarcane,application of super phospet + urea
Fruits,Pomegranate,Plant Protection,FUNGUS ATTACK?,????? ???? ???? ?? ?????? ?????? ??????? ?????
Others,Others,Plant Protection,Govt. Schemes,REQUESTED TO to visit TAO.
Vegetables,Drum Stick,Nutrient Management,ASKED FOR THE GROWTH OF BEANS IN DRUMSTICK CROP,SPRAY 00:52:34 50 GM IN 10 LTR OF WATER FOR THE GROWTH OF BEANS IN DRUMSTICK CROP
Others,Others,Government Schemes,sms activation?,Your Registration process successfully completed. ????? ?????? ????? ????????? ????? ?????? ???.
Fruits,Pomegranate,Bio-Pesticides and Bio-Fertilizers,TO CONTROL ATTACK OF OILY SPOT ON POMEGRANATE CROP,SPRAY COPPER OXYCHLORIDE 25 GM WITH STREPTOCYCLIN 4 GM IN 10 LTR OF WATER TO CONTROL ATTACK OF OILY SPOT ON POMEGRANATE CROP
Condiments and Spices,Ginger,Plant Protection,BLIGHT ATTACK?,??????? ?????30?????/15 ???? ??????????? ???? ?????? ?????.
Condiments and Spices,Ginger,Plant Protection,ROOT ROT?,Drenching of Redomil Gold 30gm + humic acid 30 ml /15Lit of Water.
Vegetables,Onion,Bio-Pesticides and Bio-Fertilizers,TO CONTROL ATTACK OF SUCKING PEST ON ONION CROP,SPRAY DIMETHOATE 10 ML IN 10 LTR OF WATER TO CONTROL ATTACK OF SUCKING PEST ON ONION CROP
Fruits,Pomegranate,Plant Protection,Thrips Attack ?,Confidor 6ml/15 Lit of Water.
Fruits,Pomegranate,Plant Protection,THRIPS ON POMEGRENATE,THRIPS ON POMEGRENATE - CONFIDOR 15 ML /15 LITER WATER SPRAY
Others,Others,Weather,Weather report ?,???? ?????? ????? ??????? ?????? ???. partly cloudy and possibility of light rainfall
Oilseeds,Soybean (bhat),Fertilizer Use and Availability,Fruit Borer Attack?,Spray fame 5ml/15 Lit of Water.
Animal,"Bovine(Cow,Buffalo)",Animal Breeding,animal managmnt,info given
Animal,"Bovine(Cow,Buffalo)",Animal Breeding,animal managmnt,info given
Animal,"Bovine(Cow,Buffalo)",Animal Breeding,animal managmnt,info given
Animal,"Bovine(Cow,Buffalo)",Animal Breeding,animal managmnt,info given
Animal,"Bovine(Cow,Buffalo)",Animal Breeding,animal managmnt,info given
Animal,"Bovine(Cow,Buffalo)",Animal Breeding,animal managmnt,info given
Fiber Crops,Cotton (Kapas),Plant Protection,Attack of Blight?,Spray M-45 30 gm/15 Lit of Water.
Vegetables,Tomato,Seeds and Planting Material,ASKED ABOUT TOMATO VARIETY,"ABHINAV ,ANUP ,1389"
Fruits,Pomegranate,Nutrient Management,ASKED FOR THE GROWTH OF FLOWER IN POMEGRANATE CROP,SPRAY 00:52:34 50 GM WITH BOOMFLOWER 30 ML IN 10 LTR OF WATER FOR THE GROWTH OF FLOWER IN POMEGRANATE CROP
Vegetables,Cucumber,Bio-Pesticides and Bio-Fertilizers,TO CONTROL ATTACK OF RED MITES ON CUCUMBER CROP,SPRAY WETTABLE SULPHUR 30 GM IN 15 LTR OF WATER TO CONTROL ATTACK OF POWDERY MILDEW & RED MITES ON CUCUMBER CROP
Vegetables,Bhindi(Okra/Ladysfinger),Plant Protection,CATTERPILLOR ON BHINDI,CATTERPILLOR ON BHINDI - CLOROPAUYRIFOS 30 ML /15 LITER WATER SPRAY
Others,Others,Weather,FARMER REQUESTED TO GIVE CURRENT STATUS OF WEATHER,CLOUDEY WEATHER AND NO POSSIBILITY OF RAIN
Vegetables,Onion,Plant Protection,ATTACK OF WHITE GRUB----,ATTACK OF WHITE GRUB---- APPLICATION OF THIMATE 3-5 KG /ACRE
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,STEM BORER ATTACK?,Spray Nuwan 20ml/15Lit of Water..acifet 20 gm o acitapramide 2gm /10lit
Others,Others,Training and Exposure Visits,AGRI INFORMATION WEBSITE?,"WWW.MAHAAGRI.GOV.IN,WWW.AGRIPLAZA.IN ,WWW.TNAU.AC.IN"
Millets,Sorghum (Jowar/Great Millet),Cultural Practices,variety of sorghum?,variety of sorghum- fule revati
Pulses,Green Gram (Moong Bean/ Moong),Plant Protection,Leaf Eating Caterpillar ?,spray Chloropyriphos 30ml in 15 litre water
Others,Others,Weather,Asked about Weather report ?,"Partly claudy, Chances of rain after 7 sept"
Others,Others,Fertilizer Use and Availability,preparation of of jivmrut,preparation of of jivmrut- 10kg cow dung + cow urin 10 lit. +jiggery 2 kg + dal powder + PSB 1 lit.+ KSB 1 lit. / 100 liter of water. use afer 8 days for drenching
Flowers,Chrysanthemum,Plant Protection,attack of thrips on chrysanthemum?,Spray Karate15ml/15 Lit of Water
Vegetables,Onion,Cultural Practices,herbicide on onion?,spray whip super 1.5 mili+gol 1 mili?liter favarave
Others,Others,Weather,Asking about Weather information?,"Partly cloudy, possibility withlight rain."
Others,Others,Weather,asked about weather forecasting ?,partly cloudy weather condition no possibility of rain
Others,Others,Weather,weather info.,"-Atmosphrer is cloudy, possibility light rainfall"
Others,Others,Fertilizer Use and Availability,fertilizer info.,00;52;34 wapar kara
Others,Others,Fertilizer Use and Availability,fertilizer info.,00;52;34 wapar kara
Vegetables,Chillies,Plant Protection,Attack of Sucking ?,Spray Actra 5 gm/15 Lit of Water.
Vegetables,Chillies,Plant Protection,Sucking Pest ?,Spray Record 10 gm or Pride 10 gm / 15 lit of water
Others,Others,Plant Protection,Weather Report ?,"Partly cloudy, not possibility with light rain."
Vegetables,Potato,Cultural Practices,season ?,80-90 day after planting
Vegetables,Potato,Plant Protection,Fertilizer ?,Spray 00-52-34 60 gm + 00-00-50 60 gm + microlla 30 +/15lit of water.
Fruits,Pomegranate,Plant Protection,fertilizer for pomo?,By drip calcium nitrate + boron 1 kg/acre ????? ???? ???????? ???????? + ????? 1 ????/????
Vegetables,Onion,Plant Protection,Caterpillar Attack-Fruit Borer Attack?,Spray Rogar 15ml/15 Lit of Water.
Vegetables,Onion,Plant Protection,blight and thrips on onion?,folicure 0.50ml/liter+regent 2 mili/liter favrave
Fruits,Pomegranate,Seeds and Planting Material,VARIETIES?,"Pomogranate- Ganesh, Bhagva, Mradula, Shendri, Arkta? ????, ????"
Vegetables,Potato,Cultural Practices,variety of potato?,"variety of potato = kufari lavakar, kufari chandramukhi, kufari sinduri, kufari jyoti"
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,variety ?,"Sagarcane-CO- 86032, CO- 671, CO- 265, 94012."
Vegetables,Onion,Seeds and Planting Material,contact number of onion research centre rajgurunagar?,"contact number of onion research centre rajgurunagar-02135-222026, 222697"
Others,Others,Government Schemes,Asked about SMS scheme activation,Your registration for SMS scheme is activated.
Others,Others,Weather,Asked About Weather Report ?,Partly cloudy & possibility of light rainfall.¬¬¬¬
Others,Others,Weather,weather info.,"-Atmosphrer is cloudy, possibility light rainfall"
Others,Others,Weather,Asking about Weather information?,Cloudy weather Possibility of High to Medium Rainfall
Vegetables,Drum Stick,Nutrient Management,foliar spray for drumstick ?,foliar spray for drumstick- spray 0;52;34 75gm + nitrobenzin 30ml / 15 liter of water
Others,Others,Weather,farmer has asked about current weather condition of his tashil?,"weather forecast - atmosphrer is cloudy, possiblity of light rainfall"
Others,Others,Weather,Todays weather condition in shirur,"Todays weather condition in shirur isPartly cloudy, light rainfall"
Fruits,Pomegranate,Nutrient Management,foliar spray for pomegranate ?,foliar spray for pomegranate - spray 0;52;34 75gm + nitrobenzin 30ml / 15 liter of water
Others,Others,Weather,Weather Report?,Partly cloudy weather and light rain
Condiments and Spices,Garlic,Seeds and Planting Material,seed rate for garlic ?,500-600 kg /hector seeds required for garlic
Vegetables,Onion,Market Information,asked about market rate onion ?,RS 700-1900/qtl onion market pune
Others,Others,Water Management,Asked About SMS Activation?,Your Registration process successfully completed.
Vegetables,Onion,Market Information,MARKET RATE OF ONION,-''-MARKET RATE OF ONION - LAL AKLUJ QUINTAL 85 1700 1000 1400
