Category,Crop,QueryType,QueryText,KCCAns
Vegetables,Bhindi(Okra/Ladysfinger),Plant Protection,Farmer has enquired about control measure for sucking pest in bhindi?,to control sucking pest in bhindi spray Chloropyriphos 30ml/15 Lit of Water.
Others,Others,Weather,weather forecast information?,???? ?????? ????? -???? ??????? ?????? ?? ????? ??????? ?????? ???.
Vegetables,Onion,Nutrient Management,Farmer has requested for nutrient for onion?,nutrient for onion 19:19:19 40 gm + microlla 30 ml/15 lit of water
Fruits,Pomegranate,Seeds and Planting Material,verieties?,"P Granate- Ganesh, Bhagva, Mradula, Shendri, Arkta? ????, ????"
Condiments and Spices,Ginger,Plant Protection,ATTACK OF WHITE GRUB----,ATTACK OF WHITE GRUB----APPLICATION OF CHLOROPYRIPHOS 500 ML /ACRE
Condiments and Spices,Ginger,Plant Protection,control of blight attack ?,spraying of score + kavach
Condiments and Spices,Ginger,Plant Protection,control of blight attack ?,spraying of score + kavach
Condiments and Spices,Ginger,Plant Protection,ATTACK OF BLIGHT-----,ATTACK OF BLIGHT----- SPRAY REDOMIL GOLD ----30 GRAM + 00:52:34 ---60 GRAM + MICROLA ---40 ML IN 15 LIT OF WATER
Others,Others,Water Management,control of water salt,use stabilizer
Others,Others,Weather,Farmer has requested about current weather condition?,According to weather report there will possibility of cloudy weather and light rain
Flowers,Marigold,Vegetative Propagation and Tissue Culture,variety,"pusa basanti,pusa narangi"
Vegetables,Tomato,Plant Protection,attack of nematode on tomato,nematode on tomato - drenching nematicide 1 lit / acre
Others,Others,Government Schemes,Govt. Schemes-,"50-60 % subsidies, guide to visit TAO."
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,Farmer has enquired about control measure for caterpillar attack in sugarcane?,to control caterpillar attack in sugarcane Spray Nuwan 20ml/15Lit of Water
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,weediside ?,2 4 d
Others,Others,Weather,weather forecast information?,"weather forecast -atmosphere is cloudy, possibility light rainfall ."
Others,Others,Bio-Pesticides and Bio-Fertilizers,procedur for making of jivamrut?,procedur for making of jivamrut-200lit water+25 kg dung+7 lit cow urin+2kg dal flour+2kg jaggery+ curd
Vegetables,Onion,Fertilizer Use and Availability,ASKED ABOUT FERTILIZER FOR ONION CROP,2 BAG 10:26:26 WITH 1 BAG UREA PER ACRE FERTILIZER FOR ONION CROP
Vegetables,Drum Stick,Plant Protection,Farmer has enquired about control measure for yellowing in drumstick?,to control yellowing in drumstick Spray Bavistine 30gm/15lit of Water.
Others,Others,Weather,Weather Report?,Partly cloudy weather and light rain
Fruits,Mango,Bio-Pesticides and Bio-Fertilizers,TO CONTROL ATTACK OF SUCKING PEST ON MANGO CROP,SPRAY THIOMETHAKZOM 5 GM IN 15 LTR OF WATER TO CONTROL ATTACK OF SUCKING PEST ON MANGO CROP
Others,Others,Weather,asked about climatic condition,possibility of light rain today
Vegetables,Potato,Plant Protection,Leaf Eating Caterpillar?,????? 100 - 4 ????/15 ???? ??????? ?????? ?????. ?????? ????-40 ?????/15 ???? ????.
Pulses,Pigeon pea (red gram/arhar/tur),Plant Protection,Leaf Eating Caterpillar ?,Spray Chloropyriphos 30Ml /15 Lit Of Water.
Oilseeds,Soybean (bhat),Plant Protection,Shoot Borer Attack?,Avaunt 15.8 % EC 200 ml / 200 liter of Water
Vegetables,Chillies,Plant Protection,Thrips Attack ?,Actra 5 Gram + Karate 15 ML / 15 Liter Water
Vegetables,Potato,Market Information,all india market webcite ?,www.msamb.com
Millets,Sorghum (Jowar/Great Millet),Plant Protection,weediside ?,2 4 d
Others,Others,Weather,Farmer has requested about current weather condition?,According to weather report there will possibility of cloudy weather and light rain
Others,Others,Weather,Farmer has requested about current weather condition?,According to weather report there will possibility of cloudy weather and light rain
Vegetables,Tomato,Plant Protection,ASKED ABOUT TOMATO CATTERPILAR ATTAK ?,????????? ???? 30 ???? / 15 ?? ??????? ?????? ?????.
Others,Others,Government Schemes,Farmer has requested about current weather condition?,According to weather report there will possibility of cloudy weather and light rain
Others,Others,Weather,Weather Condation ?,opssibility of rain
Others,Others,Government Schemes,Farmer has requested about current weather condition?,According to weather report there will possibility of cloudy weather and light rain
Vegetables,Onion,Vegetative Propagation and Tissue Culture,VARIETY OF ONION,"VARIETY OF ONION - N-53, NASHIK RED , BASAVANT , PANCHGANGA"
Cereals,Wheat,Field Preparation,asked about wheat fertilizer doses ?,????? ????? 30 ????/15???? ??????? ????? ????? ?????.
Vegetables,Brinjal,Plant Protection,ASKED ABOUT BRINJAL CATTERPILAR ATTAK ?,????????? ???? 30 ???? / 15 ?? ??????? ?????? ?????.
Vegetables,Onion,Agriculture Mechanization,fertilizer dose for onion?,fertilizer dose for onion- apply 10:26:26 1 bag/acre
Others,Others,Weather,weather,possibility of rain
Vegetables,Chillies,Fertilizer Use and Availability,Sucking Pest?,Spray Actra 5 gm /15 Lit of Water. Spray Actra 5 gm /15 Lit of Water.
Fruits,Pomegranate,Seeds and Planting Material,pomo variety?,pomo variety ..... bhagava
Vegetables,Bhindi(Okra/Ladysfinger),Plant Protection,attack of caterpillar on bhendi,spray of profex super 30 ml per pump on bhendi
Others,Others,Plant Protection,weather ?,Partly cloudy and possibility of light rain
Others,Others,Weather,Asked About Weather report ?,"Partly cloudy, possibility of light rain"
Vegetables,Cauliflower,Nutrient Management,nutrients for cauliflower?,spray 0 52 34 - 50 graam / 15 litre water
Fiber Crops,Cotton (Kapas),Plant Protection,WEATHER IN PUNE ?,"Partly cloudy, possibility with light rain."
Vegetables,Tomato,Plant Protection,Farmer has enquired about control measure for wilting in tomato?,to control wilting in tomato take drenching of Redomil Gold 30gm + humic acid 30 ml /15Lit of Water.
Others,Others,Weather,Asked About Weather Report ?,Cloudy weather NOT Possibility of light Rainfall
Others,Others,Weather,Todays weather condition in indapur,"Todays weather condition in indapur is Partly cloudy, light rainfall"
Others,Others,Weather,Asked about weather forecasting?,Partly cloudy and possibility of light rain
Others,Others,Weather,Asked about weather forecasting?,Partly cloudy and possibility of light rain
Others,Others,Weather,Asked about weather forecasting?,Partly cloudy and possibility of light rain
Vegetables,Chillies,Seeds and Planting Material,Farmer has enquired about variety of chilly?,"variety of chilly are sitara,sankeshwari-1,pune jwala"
Millets,Maize (Makka),Seeds,vaerity maize ?,"MAIZE-Deccan Double Hybrid, Ganga Safed, jk seeds."
Others,Others,Weather,Asked About Weather Report ?,Cloudy weather NOT Possibility of light Rainfall
Fruits,Banana,Fertilizer Use and Availability,farmer had enquired about fertilizer dose for banana?,fertilizer dose for banana apply 00:52:34 2-3 kg/acre
Others,Others,Weather,weather information,"Partly cloudy, No Possibility of Rain"
Sugar and Starch Crops,Sugarcane (Noble Cane),Agriculture Mechanization,weedicide in sugarcane,"weedicide in sugarcane - 2,4-d 40"
Others,Others,Weather,Weather Report ?,cloudy weather light chance of rainfall
Fruits,Pomegranate,Plant Protection,abour fertilizer dose,Spray Boom flower 30ml/15lit of Water.
Vegetables,Bitter Gourd,Plant Protection,BITTERGOARD VARIETIES,BITTERGOARD VARIETIES= HIRKANI
Others,Others,Plant Protection,Farmer has enquired about weather,Partly cloudy and possibility with light rain.
Sugar and Starch Crops,Sugarcane (Noble Cane),Agriculture Mechanization,minimum support price of sugarcane,minimum support price of sugarcane - 2200 rs /ton
Fruits,Sapota,Plant Protection,fertilizer dose pf sapota ?,10 26 26 1 bag + micronutraient 1 bag /acar
Plantation Crops,Coconut,Nutrient Management,fruit drop in coconut ?,fruit drop in coconut-give boron 100gm / plant
Others,Others,Government Schemes,ASKED ABOUT SMS ACTIVATION?,sms scheme is activated on your mobile number
Vegetables,Tomato,Plant Protection,black spot on tomato,Spray Redomil Gold 30gm/15Lit of Water.
Vegetables,Bhindi(Okra/Ladysfinger),Plant Protection,Sucking Pest?,Spray Actra 5 gm/15 Lit of Water.
Others,Others,Weather,Weather Report ?,cloudy weather no chance of rainfall
Fiber Crops,Cotton (Kapas),Plant Protection,attck of suking pest on cotton,suking pest on cotton - SPRAY ALANTO 30 ML + bavistin 30 gm / 15 lit of water
Inland,Cold Water,Fishery Nutrition,contact number of fisheries?,not available.
Vegetables,Tomato,Plant Protection,black spot on tomato,takad + rook 20 gm
Others,Others,Weather,farmer had enquired about Weather information?,"Partly cloudy, possibility with light rain."
Vegetables,Potato,Agriculture Mechanization,DISEASE IN TOMATO ?,"Partly cloudy, no possible of rain ."
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,Attack of White Grub,Use Fertera 4 kg /acre / Regent 4 kg / acre.
Others,Others,Government Schemes,Asked About SMS Activation?,Your SMS Registration process successfully completed.
Vegetables,Onion,Market Information,onion market rate,onion market rate -800-1000 rs / qit
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,weather in pune,cloudy and there are no possibility of rains.
Condiments and Spices,Fenugreek,Agriculture Mechanization,variety of fenugreek,variety of fenugreek - kasuri methi
Fiber Crops,Cotton (Kapas),Weather,weather condition ?,????? ??? ?? ???? ???? ??: 98° ????????: 29.7 ??? ?????: 72° ???: 54.1% ????????????: 6 ???
Vegetables,Bhindi(Okra/Ladysfinger),Plant Protection,Attack of Caterpillar?,Spray Chloropyriphos 30ml/15 Lit of Water.
Fruits,Others,Fertilizer Use and Availability,fertilizer ?,Bavistine 30gm + 19:19:19 30ml/15 Lit of Water Drenching.Spray virosol 30 gm /15lit of water.
Others,Others,Government Schemes,Asked About SMS Activation?,Your SMS Registration process successfully completed
Others,Others,Weather,weather repoet?,cloudy weather no possibil;ity of rainfall.
Oilseeds,Soybean (bhat),Market Information,MARKET RATE OF SOYABEAN ?,Commodity :SOYABEAN Rate Per Unit in Rs. Date Variety APMC Unit Quantity HRate LRate Average 11/10/14 ---- NAGPUR QUINTAL 376 3348 2900 3124 --''-- ---- SHRIRAMPUR QUINTAL 8 3051 3051 3051 --''-- PIVLA GEVRAI QUINTAL 12 3000 3000 3000
Fiber Crops,Cotton (Kapas),Weather,weather condition ?,??????? ???? ???? ??: +45° ????????: 1005.0 ???????????? ?????: +26° ???: 59.8% ????????????: 4 ????????
Others,Others,Government Schemes,FARMER HAS REQUESTED TO ACTIVATE SMS SERVICE ON HIS MOBILE.,Registration process successfully completed.
Fruits,Pomegranate,Nutrient Management,fertilizer dose for pomegranate,apply 0:52:34 5 kg + boron 1 kg per acre for pomegranate
Others,Others,Government Schemes,reshim sheti?,reshimala 100 % subcidy ahe
Others,Others,Weather,Asking about weather forecast ?,"Partly cloudy, No Possibility of Rain"
Vegetables,Potato,Plant Protection,wiltin in potato,Drenching of bavistin 15 gm + humic acid 30 ml per pump
Others,Others,Weather,Weather Information,"Partly cloudy, possible of rain"
Others,Others,Weather,weather forcast?,"Partly claudi ,no precipitation chances ???? ???????, ??????? ?????? ????"
Others,Others,Weather,weather info.,according to weather report there will be cloudy weather with no rain
Fiber Crops,Cotton (Kapas),Plant Protection,ATTACK OF SUCKING PEST?,SPRAY RIJENT / CONFIDOR / ASTRA 5 GRAM+ 19:19:19 / 00:52:34 – 60 GRAMS + MICROLA – 40 ML + BAVISTIN – 30 GRAMS IN 15 LITER OF WATER
Millets,Sorghum (Jowar/Great Millet),Plant Protection,Weather Report?.,"cloudy weather , chances of light no rainfall"
Fiber Crops,Cotton (Kapas),Plant Protection,Attack of Thrips?,Spray Actra 5 gm/15 Liter of Water
Fiber Crops,Cotton (Kapas),Field Preparation,Weather Report?.,"cloudy weather , chances of light no rainfall"
Fruits,Pomegranate,Plant Protection,Fertilizer Dose ?,calcium nitrate 20 gm + boran 20 + microlla 30 ml /15 litar water
Others,Others,Weather,Weather Report ?,Cloudy weather Possibility of light Rainfall
Others,Others,Plant Protection,Flower Drop,Spray Boom flower 20ml/15lit of Water.
Fruits,Pomegranate,Plant Protection,Fertilizer Dose ?,calcium nitrate 20 gm + boran 20 + microlla 30 ml /15 litar water
Fiber Crops,Cotton (Kapas),Plant Protection,Sucking Pest?,Spray Actra 5 gm/15 Lit of Water.
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,Stem Borer Attack?,Spray Nuwan 20ml/15Lit of Water.
Vegetables,Greater Yam,Plant Protection,Attack of fungus?,Spray Bavistine 30gm + 191 91 9 60 gm + microlla 30 ml /15 Lit of Water Drenching.
Vegetables,Others,Seeds and Planting Material,VERIETIES?,"W Melon- Agastha, Sugar Beby, Black Magic, Sugar Manik."
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Field Preparation,Asked About SMS Activation ?,Sms scheme is activated successfully
Fruits,Banana,Plant Protection,for growth of banana?,spray 19:19:19 50 gram + microlla 30 mili in 15 lit of water
Vegetables,Chillies,Plant Protection,LEAF CURL,Spray fame 5ml/15 Lit of Water
Others,Others,Weather,Weather forecast information?,"???? ???????, ????? ?? ?????? ???? cloudy atmosphere no possibility of rainfall."
Others,Others,Weather,Asked About Weather report ?,Cloudy weather and possibility of light rain
Vegetables,Tomato,Plant Protection,flower drop in tomato?,Spray Plano fix 5ml/15 Lit of Water
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,Stem Borer Attack?,Spray Nuwan 20ml/15Lit of Water.
Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,fertilizer dose for sugarcane at the of plantation ?,urea 76kg + singal supar phosphet 531 kg + potash 141 kg + nim pend 100 kg /hector
Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,fertilizer dose for sugarcane,apply 10:26:26 2 bag + manganese sulphate 10 kg + zink sulphate 10 kg + ferrous sulphate 10 kg + calcium magnesium sulphate 10 kg + borax 5 kg + neem cake 30 kg per acre for sugarcane
Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,FERTILIZER FOR SUGARCANE,10;26;26 2 BAG + UREA 1 BAG /ACRE
Vegetables,Chillies,Vegetative Propagation and Tissue Culture,VARIETY OF CHILLI,"VARIETY OF CHILLI - AGNIREKHA, JWALA, JYOTI, TEJA"
Vegetables,Onion,Plant Protection,BLIGHT ON ONION,BLIGHT ON ONION = ANTRACALL 30 GM = DESIS 100 15 ML /15 LITER WATER SPRAY
Others,Others,Weather,Ask about Weather Forecast?,Partly cloudy and light rain
Vegetables,Onion,Market Information,onion market rate?,onion market rate ..... 1600 - 2000 Rs / Quintal
Sugar and Starch Crops,Sugarcane (Noble Cane),Seeds,sugarcane variety?,sugarcane variety .... co 86032
Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,fertilizer dose of sugarcane,at the time of planting use super phospet + urea
Others,Others,Weather,ASKED ABOUT WEATHER INFORMATION,ATMOSPHERE IS PARTLY CLOUDY WITH NO ANY CHANCES OF RAIN
Others,Others,Weather,ASKED ABOUT WEATHER INFORMATION,ATMOSPHERE IS PARTLY CLOUDY WITH NO ANY CHANCES OF RAIN
Vegetables,Tomato,Plant Protection,ATTACK OF Sucking Pest,Spray Actra 5 gm/+ Redomil Gold 30gm/15 Lit of Water
Vegetables,Potato,Plant Protection,wilt in potato,Drenching of bavistin 15 gm + humic acid 30 ml per pump
Sugar and Starch Crops,Sugarcane (Noble Cane),Field Preparation,WEED IN SUGARCANE ?,SPRAY OF WEEDICIDE 24D
Condiments and Spices,Methi (Fenugreek),Bio-Pesticides and Bio-Fertilizers,TO CONTROL ATTACK OF BLIGHT ON METHI CROP,SPRAY REDOMIL GOLD 25 GM IN 10 LTR OF WATER TO CONTROL ATTACK OF BLIGHT ON METHI CROP
Vegetables,Tomato,Bio-Pesticides and Bio-Fertilizers,TO CONTROL ATTACK OF SUCKING PEST ON TOMATO CROP,SPRAY THIOMETHAKZOM 5 GM IN 15 LTR OF WATER TO CONTROL ATTACK OF SUCKING PEST ON TOMATO CROP
Vegetables,Onion,Fertilizer Use and Availability,Fertilizer ?,2% ????? 200 ?????/15 ???? ??????????? ???? ?????? ?????.
Fiber Crops,Cotton (Kapas),Plant Protection,Sucking Pest ?,??????? 5?????+ ??????? ????? 30????? /15???? ??????????? ???? ?????? ?????.
Vegetables,Amarphophallus (Surankand/Elephant Foot Yam),Agriculture Mechanization,asked about cotton caterpillar attack ?,Spray Redomil Gold 30gm/15Lit of Water.
Fruits,Banana,Cultural Practices,variety of banana ?,"variety of banana- g-9, basarai"
Oilseeds,Soybean (bhat),Plant Protection,Thrips Attack ?,Spray Confidor super / Confidor 10ml/15 Lit of Water.
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Varieties,varieties ?,Vijay vishal digvijay
Others,Others,Plant Protection,farmer asked about current weather condition?,cloudy weather no possibil;ity of rainfall.
Sugar and Starch Crops,Sugarcane (Noble Cane),Agriculture Mechanization,fertilizer dose for sugarcane?,fertilizer dose for sugarcane-apply 2 bag urea+ nimboli pend 20kg/acre
Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,fertilizer dose?,fertilizer dose -2 bag urea + 20 kilo nimboli pend/acre
Vegetables,Onion,Cultural Practices,FERTILIZER FOR ONION?,FERTILIZER FOR ONION - 10:26:26 + SULPHAR
Vegetables,Onion,Cultural Practices,FERTILIZER FOR ONION?,FERTILIZER FOR ONION - 10:26:26 + SULPHAR
Vegetables,Potato,Fertilizer Use and Availability,Fertilizer Dose –,spary 19 :19:19 40 gram + Spray Microlla 30 ml/15 Lit of Water. Spray Redomil Gold 30gm/15Lit of Water.
Vegetables,Drum Stick,Plant Protection,Fertilizer Dose –,?????????? ????? 60 ????? + ?????? 100 ????? + ?? ?? ?? ??? ?????/ 15 ???? ??????????? ???? ?????? ?????.??????? ? ????? + ?????? ?? ???? + ?? ?? ?? ????? / ?? ??? ??????? ???? ?????? ???
Vegetables,Potato,Plant Protection,fungus attak ?,Spray Redomil Gold 30gm + admire 5gm /15 Lit of Water spraying.
Others,Others,Weather,Weather Report?,Partly cloudy weather and light rain
Sugar and Starch Crops,Sugarcane (Noble Cane),Weather,cultural practices?,?? ??????? ??? ???? ???? ?? ??? ?? ??? ????????? ?????? ????? ???? ???? ?????? ????
Vegetables,Onion,Market Information,MARKET RATE ONION----,MARKET RATE ONION----1400-1500/QUINTAL
Fruits,Guava,Plant Protection,white fly on guava?,spray record 0.50gram/liter favarave
Others,Others,Weather,weather info.,Partly Cloudy
Others,Others,Weather,Asking about Weather information?,Cloudy weather Possibility of High to Medium Rainfall
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Plant Protection,variety of gram,"variety of gram - vijay , vishal , digavijaya"
Others,Others,Weather,ASKED ABOUT WEATHER FORCAST?,Partly cloudy and light rain
Cereals,Wheat,Seeds,VARIETIES OF WHEAT CROP,"HD 2189, TRYAMBAK, TAPI, KALYAN SONA, LOK 1 VARIETIES OF WHEAT CROP"
Fruits,Pomegranate,Fertilizer Use and Availability,fertilizer for pomegrenate,fertilizer for pomegrenate - 10;26;26 1 BAG /ACRE
Fruits,Pomegranate,Fertilizer Use and Availability,fertilizer for pomegrenate,fertilizer for pomegrenate - 10;26;26 1 BAG /ACRE
Fruits,Pomegranate,Fertilizer Use and Availability,fertilizer for pomegrenate,fertilizer for pomegrenate - 10;26;26 1 BAG /ACRE
Fruits,Pomegranate,Fertilizer Use and Availability,fertilizer for pomegrenate,fertilizer for pomegrenate - 10;26;26 1 BAG /ACRE
Cereals,Wheat,Seeds,VARIETIES OF WHEAT CROP,"HD 2189, TRYAMBAK, TAPI, KALYAN SONA, LOK 1 VARIETIES OF WHEAT CROP"
Fiber Crops,Cotton (Kapas),Plant Protection,White fly attack?,Spray Karate10ml/15 Lit of Water
Vegetables,Ridge Gourd,Plant Protection,Thrips Attack ?,Spray Actra 5 gm /15 Lit of Water.
Others,Others,Weather,weather information of baramati?,weather information of baramati-mostly clear weather
Others,Others,Weather,Asked about weather forecasting?,Partly cloudy and possibility of light rain
Vegetables,Curry Leaf,Plant Protection,ATTACK OF HUMNI?,Drenching of Chloropyriphos 40 ml + humic acid 30 ml / 15 lit of water.
Cereals,Wheat,Field Preparation,Weather Report?.,"???? ?????? ????? - ???? ???????, ?????? ??????? ?????? ???"
Vegetables,Others,Plant Protection,SHOOT BORER ON BRINJAL,SHOOT BORER ON BRINJAL - spray spinosad 6 ml / 15 lit water
Others,Others,Weather,WEATHER INFORMATION,"CLOUDY WEATHER , NO RAIN CHANCES"
Millets,Maize (Makka),Plant Protection,Leaf Eating Caterpillar,spray Chloropyriphos 30ml/15 Lit of Water
Fiber Crops,Cotton (Kapas),Plant Protection,Blight Attack?,Spray Tilt 30gm/15 Lit of Water.
Vegetables,Tomato,Plant Protection,control of red mite,spraying of omite 5ml/15Lit of Water
Fruits,Pomegranate,Plant Protection,attack of nematodes?,apply nematodcite
Others,Others,Weather,what is weather condition in pune district ?,"Partly cloudy, no possible of rain ."
Others,Others,Weather,Asking about Weather information?,Cloudy weather Possibility of High to Medium Rainfall
Others,Others,Weather,Asking about Weather information?,Cloudy weather Possibility of High to Medium Rainfall
Sugar and Starch Crops,Sugarcane (Noble Cane),Agriculture Mechanization,Attack of White Grub?,Use Fertera 4 kg /acre / Regent 4 kg / acre.
Fruits,Pomegranate,Seeds and Planting Material,pomo variety?,pomo variety ...... bhagava
Others,Others,Weather,weather info.,Partly cloudy and light rain
Others,Others,Weather,Weather Report ?,cloudy weather light chance of rainfall
Others,Others,Weather,Asked about weather forecasting?,Partly cloudy and possibility of light rain
Others,Others,Weather,Weather Report ?,cloudy weather light chance of rainfall
Vegetables,Cauliflower,Plant Protection,WILT ON VEGETABLE,WILT ON VEGETABLE - REDOMIL GOLD 30 GM + HUMIC ACID 30 ML /15 LITER WATER SPRAY
Vegetables,Bhindi(Okra/Ladysfinger),Plant Protection,attack pest,Spray Actra 5 gm/15 Lit of Water.
