Category,Crop,QueryType,QueryText,KCCAns
Pulses,Green Gram (Moong Bean/ Moong),Plant Protection,ATTACK OF SUCKING PEST?,Spray Confidor super / Confidor 10ml/15 Lit of Water.
Pulses,Green Gram (Moong Bean/ Moong),Plant Protection,ATTACK OF SUCKING PEST?,Spray Confidor super / Confidor 10ml/15 Lit of Water.
Others,Others,Agriculture Mechanization,Asked About SMS Activation,. Your SMS Registration process successfully completed
Plantation Crops,Coconut,Plant Protection,fruit drop of coconut,fruit drop of coconut = spray of bordo 1% in coconut. also apply boron 1 kg per plant
Vegetables,Onion,Plant Protection,about fertilizer dose,use 10.26.26 2 bag + 25 urea per acre for onion filed
Others,Others,Weather,Weather Forecast ?,climate is partly cloudy and possibility of light rain
Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,fertilizer dose for sugarcane at the time of plantation ?,fertilizer dose for sugarcane at the time of plantation- urea 76kg + singal supar phosphet 731 kg + potash 141 kg / hector
Vegetables,Bhindi(Okra/Ladysfinger),Plant Protection,attack of blight on bhendi,spray of bavistin 15 gm + M 45 30 gm per pump on bhibdi
Vegetables,Bitter Gourd,Plant Protection,attack of sucking pest on bitter gourd ?,spray actra 5gm/ 15 liter of water for controlling whitefly on bitter gourd
Vegetables,Tomato,Plant Protection,thrips of tomato?,Spray Actra 5 gm/15 Lit of Water.
Others,Others,Agriculture Mechanization,Asked About Weather Forecast?,"Cloudy weather, possibility of low rainfall."
Others,Others,Weather,weather ?,"Partly cloudy, possibility with light rain."
Vegetables,Onion,Plant Protection,Sucking Pest ?,Spray Actra 5 gm/15 Lit of Water. + Spray M-45 30 gm/15 Lit of Water.
Fruits,Banana,Plant Protection,Fruit drop?,1.5 GA+50 lit alcohol +1 kg urea/100 lit water. Spraying
Others,Others,Plant Protection,Asked About Weather report ?,"Partly cloudy, possibility of light rain"
Others,Others,Weather,Weather Report?,Partly cloudy weather and light rain
Fruits,Pomegranate,Plant Protection,all cultivation managemnt,info given
Others,Others,Nutrient Management,filling pit for plantation,apply potash 500 gm + SSP 500 gm + nem cake 500 gm per pit
Vegetables,Onion,Plant Protection,fertilizer on onion ?,19 19 19 / 0 52 34 60 gm + microlla 30 ml /15 litar .
Others,Others,Weather,Asked about Weather report ?,"Partly claudy, Chances of rain on today."
Others,Others,Weather,weather ?,"Partly cloudy, possibility with light rain."
Pulses,Pigeon pea (red gram/arhar/tur),Plant Protection,Attack of Caterpillar?,Spray Proclaim 5gm/15lit of Water.
Others,Others,Plant Protection,Blight Attack? ?,Spray M-45 30 gm/15 Lit of Water.
Others,Others,Weather,"Asked About Weather Forecast?,","Partly claudy, no chance of rain"
Vegetables,Onion,Plant Protection,sucking pest ?,Spray Rogar 15ml/15 Lit of Water.
Vegetables,Amaranthus/Grain Amaranthus,Plant Protection,ATTACK OF ROOT ROT?,DREANCHING OF HUMIC ACID + BAVISTIN
Vegetables,Cowpea (Vegetable),Plant Protection,Attack of White Fly?,Spray Confidor super / Confidor 10ml/15 Lit of Water.
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,Attack of White Grub ?,Use Fertera 4 kg /acre / Thimate 4 kg / acre.
Vegetables,Onion,Plant Protection,Attack of fungus?,Spray Redomil Gold 30gm/15Lit of Water.
Others,Others,Weather,what is weather condition in pune district ?,"cloudy weather , chances of light no rainfall"
Fruits,Grape,Plant Protection,all cultivation management,info given
Others,Others,Weather,Weather Report ?,Sunny day no possibility of rain
Others,Others,Weather,Weather Report ?,Sunny day no possibility of rain
Fruits,Pomegranate,Plant Protection,REDNNING?,SPRAY MAGNESIUM SULPHATE 60 GM + BAVISTINE 30 GM + DAP 200 GM/15 LITER WATER WITH MAGNESIUM SULPHATE 10 KG/ACRE
Others,Others,Government Schemes,Govt. Schemes,"50-60 % subsidies, guide to visit TAO."
Vegetables,Bhindi(Okra/Ladysfinger),Plant Protection,Attack of Sucking Pest?,Spray Record 10 gm or Pride 10 gm / 15 lit of water
Fruits,Pomegranate,Plant Protection,For Flowering ?,Spray Boom flower 20ml/15lit of Water.
Vegetables,Onion,Seeds and Planting Material,varities of onion?,to use panchganga seeds
Vegetables,Onion,Plant Protection,yield of onion,yield of onion = 250 - 300 qt / ha
Vegetables,Brinjal,Fertilizer Use and Availability,Fruit Borer Attack ?,Spray Chloropyriphos 30ml/15 Lit of Water.
Flowers,Jasmine,Plant Protection,variety of mogra ?,"variety of mogra-madanbaan, gundu malai"
Vegetables,Onion,Seeds and Planting Material,varieties of onion ?,"varieties of onion- N-2-4-1, pusa red ,arka niketan ,agrifoud light red"
Fiber Crops,Cotton (Kapas),Plant Protection,Flower Drop?,Spray plano fix 5 ml/15 liter water
Vegetables,Onion,Fertilizer Use and Availability,Sucking Pest?,Spray Actra 5 gm/15 Lit of Water.
Vegetables,Onion,Market Information,market rate onion ?,700 1800 1500 Rs/Quintal
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,FERTILIZER,10 26 26 +UREA 1BAG/ACRE
Others,Others,Weather,weather forcast?,cloudey weather no possibility if rain
Condiments and Spices,Ginger,Plant Protection,attack of rhizome rot on ginger,rhizome rot on ginger -drenching marshal 30 ml + blue copper / Drenching 15 liter water
Others,Others,Weather,Todays weather condition in purandar,"Todays weather condition in purandar is Partly cloudy, no light rainfall"
Others,Others,Weather,Weather Report ?,cloudy weather no chance of rainfall
Vegetables,Onion,Plant Protection,attack of blight on onion,spray cypermethrin 7. 5ml + antrcall 37.5 gm+ 15 ml sticker / 15 lit water
Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,water soluble fertilizer for sugarcane ?,water soluble fertilizer for sugarcane- give 0;52;34 5 kg /acer
Fruits,Pomegranate,Plant Protection,attack of oily spot on pomegranate ?,spray bromofol 50gm + captan 500gm / 100 liter of water for controlling oily spot on pomegranate
Others,Others,Weather,Todays weather condition in pune,"Todays weather condition in pune is Partly cloudy, no light rainfall"
Fiber Crops,Cotton (Kapas),Plant Protection,FERTILIZER,10 26 26 +UREA
Oilseeds,Soybean (bhat),Plant Protection,pod borer on soybean,pod borer on soybean - spray fame 5 ml /15 lit of water
Others,Others,Government Schemes,Govt. Schemes ?,Guide To Visit TAO.
Fruits,Pomegranate,Fertilizer Use and Availability,fertilizer dose ?,0:00:50
Fruits,Mango,Fertilizer Use and Availability,fertilizer dose ?,19:19:19+ microla
Fiber Crops,Cotton (Kapas),Plant Protection,WEATHER IN PUNE ?,CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN
Vegetables,Onion,Cultural Practices,weed management in onion ?,spray goal 15 ml / 15 liter of water for onion
Others,Others,Weather,weather report,partly cloudy and not possibility of rain
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Varieties,VARIETIES FOR GRAM----,"VARIETIES FOR GRAM---- VIJAY ,VISHAL"
Others,Others,Weather,Weather report,"cloudy weather , no possibility rain"
Others,Others,Weather,Asking about Weather information?,Cloudy weather Possibility of High to Medium Rainfall
Vegetables,Onion,Plant Protection,BLIGHT ON ONION,ANTRRACALL 30 GM + DESIS 100 15 ML /15 LITER WATER SPRAY
Others,Others,Weather,WEATHER INFORMATION,"CLOUDY WEATHER , NO RAIN CHANCES"
Cereals,Wheat,Varieties,variety ?,"WHEAT- LOC- 1 , TRAMBAK , GOADAVARI TAPAVAN"
Cereals,Wheat,Varieties,VARIETY OF WHEAT,"HD-2189, LOK -1, KUDARAT"
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,ATTACK STEM BORER on sugarcane,STEM BORER on sugarcane -apply rejent 8 kg / acre
Others,Others,Weather,Weather report,"cloudy weather , no possibility rain"
Others,Others,Weather,regarding registration for sms scheme,your registration is successful for kisan sms portal
Vegetables,Bitter Gourd,Plant Protection,weather in pune ?,CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN
Others,Others,Weather,Asking about Weather information?,Cloudy weather Possibility of High to Medium Rainfall
Others,Others,Weather,Weather Report?,"cloudy weather , no chances of rainfall"
Others,Others,Weather,ASKED ABOUT WEATHER FORCAST?,partly cloudy & possiblity of light rain
Others,Others,Government Schemes,sms language changes?,Your Registration process successfully completed. ????? ?????? ????? ????????? ????? ?????? ???.
Vegetables,Onion,Plant Protection,FUNGUS AND SUCKING PEST ATTACK ON ONION?,Spray Actra 5 gm + M 45 30 GM+ 19:19:19 60 GM/15 Lit of Water.
Fruits,Pomegranate,Fertilizer Use and Availability,fruit size and quality?,give 00 00 50 through spray and drip.
Vegetables,Tomato,Plant Protection,attack of cutworm in tomato ?,drenching blue copper 30gm + humic acid 30ml+ chloropyriphos 30ml / 15 liter of water in tomato
Others,Others,Government Schemes,FARMER HAS REQUESTED TO ACTIVATE SMS SERVICE ON HIS MOBILE.,Registration process successfully completed.
Vegetables,Cucumber,Agriculture Mechanization,attack of thrips on cucumber,thrips on cucumber -Spray of rijent 30 ml per pump.
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,FERTILIZER,10 26 26 +UREA
Others,Others,Weather,WEATHER,CLAUDY
Fruits,Pomegranate,Seeds and Planting Material,VERIETIES?,"P Granate- Ganesh, Bhagva, Mradula, Shendri, Arkta?"
Others,Others,Field Preparation,Asked About SMS ?,Your Registration process successfully completed.
Fruits,Pomegranate,Seeds and Planting Material,VERIETIES?,"P Granate- Ganesh, Bhagva, Mradula, Shendri, Arkta?"
Vegetables,Potato,Fertilizer Use and Availability,FERTILIZER DOSE FOR POTATO?,1 BAG UREA + 2 BAG SSP + 25 KG MOP / ACRE
Others,Others,Weather,ASKED ABOUT WEATHER FORCAST?,INFORMED HIM THAT THE WEATHER IS PARTLY CLOUDY AND LIHGT RAIN
Others,Others,Market Information,ASKED ABOUT SMS Activation?,The service on his mobile has been activated
Vegetables,Brinjal,Plant Protection,Disease Attack- Blight Attack?,Spray M-45 30 gm/15 Lit of Water.
Vegetables,Potato,Plant Protection,BLIGHT ATTACK ON POTATO?,SPRAY CARBENDAZIN 10 GM + MINRAL OIL 100 ML + STICKER / 10 LIT OF WATER
Others,Others,Weather,weather ?,cloudy weather with no rainfall
Vegetables,Chillies,Seeds and Planting Material,varities of chillies?,"varities of chillies are nirmal 913, 1124,960,1012,1326,869, sitara, pusa jwala, sadabahar"
Others,Others,Weather,WEATHER REPORT?,cloudy and there are no possibility of rains.
Vegetables,Brinjal,Market Information,market rate of brinjal,market rate of brinjal = Rs 1000 - 3000 per quintal
Others,Others,Field Preparation,SCHEME OF CATTLE ?,PASHUSAVARDHAN VABHAGAT CHOKASHI KARA
Others,Others,Weather,Asking about Weather information?,Cloudy weather Possibility of High to Medium Rainfall
Fiber Crops,Cotton (Kapas),Plant Protection,Attack of red leaf---,SPRAY UREA - 200 GRAM + MgSO4 -- 100 GRAM+bavistin 30 gram+2% DAP IN 15 LIT OF WATER
Vegetables,Onion,Plant Protection,attack of sucking pest on onion,spray of karate 20 ml + M 45 30 gm per pump on onion
Vegetables,Onion,Plant Protection,Blight Attack?,??????? ?????30?????/15 ???? ??????????? ???? ?????? ?????.
Vegetables,Cabbage,Plant Protection,Caterpillar Attack?,Decis -10 ml/15 liter water.
Vegetables,Onion,Fertilizer Use and Availability,fert dose,19:19:19 2 kg+macrolla 1 lit +humic acid 1 lit water /acre
Others,Others,Government Schemes,SMS Registration process ----,Your SMS Registration process successfully completed.
Condiments and Spices,Garlic,Seeds and Planting Material,asked about varieties of garlic ?,"varieties of garlic- Godavari ,shevta"
Flowers,Marigold,Plant Protection,CUTTING PERIOD,CUTTING PERIOD OF MARIGOLD NOV-DESEMBER
Others,Others,Weather,weather report?,Partly cloudy no possibility of rain
Fruits,Pomegranate,Plant Protection,Oil spot disease?,"?????? ???????? ????????????? ????? ?????? ?????????????????? ( ??? ??. ??. ??.) + ???? ????????????? ?.?? %,????? ?????? ???? ?? ? ????/ ???? ??? ?????? ? ????? /???? ???? ?? ????????? ???? ?????? ???."
Others,Others,Weather,Weather Report,cloudy weather no chance of rainfall
Others,Others,Weather,Weather Report,cloudy weather no chance of rainfall
Vegetables,Potato,Seeds and Planting Material,varities of potato,"varities of potato = kufri sinduri, jyoti, pukharaj, lavkar, surya"
Others,Others,Agriculture Mechanization,Drip Irrigation subsidies.,"50-60 % subsidies, guide to visit TAO."
Others,Others,Agriculture Mechanization,damping off,Humic Acid 30ml/15 Lit of Water Drenching.
Fruits,Pomegranate,Plant Protection,oily spot ?,bacterianashak vaparave
Fruits,Pomegranate,Plant Protection,Oil spot disease?,Spray Bordeaux mixture(1.0%). Spray with Streptocycline (0.025%) in combination with Copper oxychloride (0.25%) or Carbendazim (0.15%) at 15 days interval for 5-6 times starting from leaf initiation stage.
Vegetables,Onion,Market Information,onion ret info.,onion ret 1625/q
Cereals,Wheat,Seeds,variety?,"tapovan ,2189 hd , nifad 434"
Vegetables,Leafy Vegetable,Plant Protection,Attack of Caterpillar?,nimboli ark fawara
Fruits,Pomegranate,Fertilizer Use and Availability,fertilizier for pomo?,shenkhat 50kh+18:46:00 2kh+potash 1kh+borokal 200 gram/zad takave
Others,Others,Weather,WEATHER REPORT ?,today climate - partly cloudy and no possibility of rain
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Agriculture Mechanization,variety of gram,"variety of gram-vijay, vishal, jaki"
Fiber Crops,Cotton (Kapas),Plant Protection,Thrips Attack ?,Actra 5 Gram + Karate 15 ML / 15 Liter Water
Vegetables,Chillies,Vegetative Propagation and Tissue Culture,variety of chilli,"variety of chilli - sitara, jwala, jyoti, teja, agnirekha"
Vegetables,Onion,Fertilizer Use and Availability,Fertilizer Dose –,Spray 2% Urea 200 gm/10Lit of Water.
Others,Others,Government Schemes,ASKED ABOUT SMS ACTIVATION?,sms scheme is activated on your mobile number
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,weather in pune ?,CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN
Vegetables,Potato,Seeds and Planting Material,variety ?,"kufari sinduri , kufari lavkar"
Vegetables,Onion,Plant Protection,Fungus Attack?,????????? ???? - ???????????? ?.? ???? + ??????? ??? ?? ?????/ 15 ???? ??????????? ???? ?????? ?????.
Others,Others,Weather,Asked About Weather report ?,Partly cloudy and no possibility of rain
Fiber Crops,Cotton (Kapas),Plant Protection,Todays weather condition in shirur,"Todays weather condition in shirur is Partly cloudy, no light rainfall"
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,all cultivation managemnt,info given
Others,Others,Weather,Asked About Weather report ?,Partly cloudy and no possibility of rain
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,ATTACK OF SHOOT BORER---,ATTACK OF SHOOT BORER--- APPLICATION OF THIMATE
Vegetables,Onion,Plant Protection,Thrips Attack ?,atara 5 gm+radomil gold 30 ml/15 liter water
Others,Others,Weather,Weather Report?,"Partly cloudy, not Possibility of Rainfall"
Vegetables,Onion,Plant Protection,attack of blight on onion,blight on onion -Spray of rijent 30 ml + Ridomil gold 30 gm +15 ml sticker /15 liter water
Vegetables,Brinjal,Agriculture Mechanization,WEATHETR IN PUNE ?,CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN
Fiber Crops,Cotton (Kapas),Plant Protection,WEATHER IN PUNE ?,CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN
Pulses,Pigeon pea (red gram/arhar/tur),Plant Protection,jassids on flower?,Spray Karate15ml/15 Lit of Water
Others,Others,Government Schemes,Asked About SMS Activation?,Your Registration process successfully completed.
Oilseeds,Jojoba,Plant Protection,WEATHER IN PUNE ?,CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN
Oilseeds,Jojoba,Plant Protection,WEATHER IN PUNE ?,CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN
Vegetables,Chillies,Plant Protection,LEAF CURL ON CHILLI,LEAF CURL ON CHILLI - Confidor super 6 ml + + bavistin 30 gm + 15 ml perfect / 15 lit of water
Oilseeds,Safflower (kusum/kardi),Plant Protection,fertilizer,dap 1bag /acre
Millets,Maize (Makka),Plant Protection,BLIGHT ON MAIZE,BAVISTIN 30 GM /15 LITER WATER SPRAY
Vegetables,Brinjal,Plant Protection,Leaf Eating Caterpillar ?,Spray Proclaim 5gm/15lit of Water.
Others,Others,Government Schemes,Asked About SMS Activation?,Your SMS Registration process successfully completed.
Vegetables,Onion,Plant Protection,weedicide,spray gaol+terga super
Vegetables,Onion,Market Information,MARKET RATE ONION-----,MARKET RATE ONION-----1700-1800/QUINTAL
Others,Others,Weather,Asked About Weather Report ?,Cloudy weather NOT Possibility of light Rainfall
Fruits,Pomegranate,Plant Protection,ATTACK OF LEAF EATTING CATTERPILLAR?,SPRAY EKALUX 30 MILI IN 15 LIT OF WATER
Others,Others,Weather,Asked About Weather Report ?,Cloudy weather NOT Possibility of light Rainfall
Fiber Crops,Cotton (Kapas),Plant Protection,ATTCK OF RED LEAF?,SPRAY UREA --200 GRAM + MgSO 4--100 GRAM IN 15 LI OF WATER
Others,Others,Weather,Weather Report ?,Cloudy weather not Possibility of Rainfall
Others,Others,Agriculture Mechanization,HTC CETER CONTACT,HTC CETER CONTACT-9822499265
Flowers,Gladiolus,Nutrient Management,fertilizer dose for gladiolus,spray of 13:40:13 gm per pump
Vegetables,Pumpkin,Plant Protection,Shoot Borer Attack?,Spray Polo 25gm /15 Lit of Water.
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,white grub on sugarcane ?,white grub on sugarcane - apply forate 3 kg / acre
Others,Others,Weather,Weather Report?,"Partly cloudy, not Possibility of Rainfall"
Vegetables,Onion,Seeds and Planting Material,onion variety?,"onion variety--panchganga,baswant-780"
Vegetables,Chillies,Plant Protection,Flower Drop?,Spray Plano fix 5ml + CA 20 GM + BO 20 GM /15 Lit of Water.Blue copper -40 gm + MICROLLA 30 GM/15 lit water.
Fiber Crops,Cotton (Kapas),Plant Protection,Fungus Attack,Spray Bavistine 30gm/15lit of Water.
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Pomegranate,Plant Protection,Asked About SMS Activation?,Your SMS Registration process successfully completed
Others,Others,Weather,Asked about weather forecasting?,"Partly cloudy, no possibility of rain"
Vegetables,Onion,Nutrient Management,fertilizer dose for onion ?,fertilizer dose for onion- give 10;26;26 100 kg + urea 30 kg + sulphar 10 kg /acer
Vegetables,Onion,Market Information,market information ?,onion - 500-2100
Flowers,Tuberose,Agriculture Mechanization,planting time of tuberose,planting time of tuberose- april-may
Cereals,Wheat,Fertilizer Use and Availability,Fertilizer Dose –,Spray Microlla 30 ml/15 Lit of Water.
Fruits,Pomegranate,Agriculture Mechanization,spray for flowering of pomegranate,spray for flowering of pomegranate -Spray Boom flower 30 ml+ 00:52:34 75 gm + microla 40 ml / 15 Lit of Water.
Others,Others,Government Schemes,Govt Schemes- subsidies?,for subsidies please visit TAO office
Fruits,Banana,Plant Protection,attack of blight on banana ?,spray tilt 15 ml / liter of water for banana
Vegetables,Onion,Market Information,ONION MARKET RATE,ONION MARKET RATE-1400-2500 RS /QU
Others,Others,Weather,weather forcast?,dhagal watavan ahe pavasachi shakyata nahi
Vegetables,Drum Stick,Plant Protection,CATTER PILER ON DRUMSTICK ?,CATTER PILER ON DRUMSTICK - SPRAY TRIAZOPHOS
Vegetables,Onion,Nutrient Management,asked about groth retardant in onion ?,spray lihocin 60 ml / 15 liter of water for onion after 2 month of plantation
Others,Others,Weather,WEATHER REPORT?,cloudy and there are no possibility of rains.
Others,Others,Weather,Asking about Weather information?,Cloudy Weather NO possibility Rainfall.
Vegetables,Tomato,Plant Protection,for growth of tomato crop?,spray 19:19:19 50 gram + microlla 30 mili + humic acid 30 mili in 15 lit of water
Others,Others,Fertilizer Use and Availability,fertilizer info.,00;52;34 wapar kara
Fruits,Pomegranate,Fertilizer Use and Availability,fertilizern info.,00;52;34 wapar kara
Fruits,Pomegranate,Fertilizer Use and Availability,FERTILIZER FOR POMOGRANATE?,00:52:34 5GRAM/LITER FAVARAVE
Fruits,Guava,Plant Protection,attack pest,blue capar wapar kara
Fruits,Guava,Plant Protection,CERCOSPORA ON GUAVA?,SPRAY COPER HYDROXIDE 2.5GRAM/LITER FAVARAVE
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Varieties,varieties of gram,"vishal , virat , vijay"
Fruits,Pomegranate,Plant Protection,nutrient dose for pomegranate,spray of tonic 2 ml per pump on pomegranate
Vegetables,Brinjal,Plant Protection,Powdery Mildew Attack?,Spray Bavistine 30gm/15lit of Water.
Others,Others,Weather,Asking about Weather information?,"Partly cloudy, possibility with light rain."
Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,fertilizer dose,apply 100 kilo urea + 100 kilo 10 26 26 + 50 kilo neem powder + 20 kilo micronutrient/acre
Vegetables,Tomato,Nutrient Management,fertilizer dose for tomato,spray of 0:52:34 60 gm + microla 25 ml per pump
Fruits,Papaya,Agriculture Mechanization,papaya market rate,papaya market rate - 700 -1600 rs /qit
Sugar and Starch Crops,Sugarcane (Noble Cane),Agriculture Mechanization,fertilizer dose for sugarcane,Any
